,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.41,39.2,93,90,20.8,US,1609272684
1,te anau,-45.42,167.72,52.88,82,100,1.59,NZ,1609272685
2,hobart,-42.88,147.33,53.01,87,40,11.41,AU,1609272469
3,victoria,22.29,114.16,64,67,0,1.01,HK,1609272577
4,mataura,-46.19,168.86,59,85,100,7,NZ,1609272689
5,zyryanovsk,49.74,84.27,-9.69,72,100,0.98,KZ,1609272690
6,oranjestad,12.52,-70.03,86,55,20,12.75,AW,1609272692
7,lipin bor,60.26,37.98,9.57,94,100,12.55,RU,1609272693
8,mount gambier,-37.83,140.77,57.2,87,90,6.93,AU,1609272694
9,saskylakh,71.92,114.08,-22.63,86,98,13.4,RU,1609272695
10,leningradskiy,69.38,178.42,-7.98,88,100,1.57,RU,1609272696
11,oxford,51.75,-1.26,37.4,100,40,9.17,GB,1609272634
12,utete,-7.99,38.76,73.92,96,100,3.24,TZ,1609272699
13,lebu,-37.62,-73.65,61.95,66,0,8.63,CL,1609272700
14,mahebourg,-20.41,57.7,77,78,40,12.75,MU,1609272701
15,taltal,-25.4,-70.48,70.7,60,30,8.79,CL,1609272620
16,hilo,19.73,-155.09,73.99,88,90,6.93,US,1609272540
17,auki,-8.77,160.7,79.63,81,98,3.76,SB,1609272734
18,tuktoyaktuk,69.45,-133.04,-4,83,90,11.41,CA,1609272747
19,mayo,38.89,-76.51,41,35,1,10.29,US,1609272750
20,rikitea,-23.12,-134.97,77.77,78,100,12.24,PF,1609272618
21,gat,31.61,34.76,57.99,70,0,2.66,IL,1609272777
22,semarang,-6.99,110.42,75.56,91,100,1.92,ID,1609272539
23,vaini,-21.2,-175.2,73.4,100,90,6.93,TO,1609272780
24,saint george,37.1,-113.58,46.99,56,1,8.05,US,1609272434
25,alice springs,-23.7,133.88,66.2,42,10,5.82,AU,1609272783
26,bluff,-46.6,168.33,59,85,100,7,NZ,1609272785
27,chuy,-33.7,-53.46,79.3,58,0,12.1,UY,1609272786
28,kaya,13.09,-1.08,73.78,18,22,8.7,BF,1609272787
29,souillac,-20.52,57.52,77,78,40,12.75,MU,1609272789
30,cuiluan,47.72,128.65,-13.47,86,99,5.26,CN,1609272790
31,punta arenas,-53.15,-70.92,59,33,0,19.46,CL,1609272792
32,lujan,-34.57,-59.1,95,41,45,3.13,AR,1609272793
33,iqaluit,63.75,-68.51,3.2,59,75,18.34,CA,1609272794
34,ushuaia,-54.8,-68.3,55.4,43,40,3.36,AR,1609272691
35,mar del plata,-38,-57.56,77,73,20,17.22,AR,1609272797
36,wahiawa,21.5,-158.02,78.8,78,1,4.7,US,1609272798
37,barrow,71.29,-156.79,-7.6,76,75,11.41,US,1609272602
38,ribeira grande,38.52,-28.7,55.4,71,40,11.41,PT,1609272801
39,port elizabeth,-33.92,25.57,68,82,32,10.29,ZA,1609272802
40,cape town,-33.93,18.42,68,72,0,10.29,ZA,1609272574
41,qaanaaq,77.48,-69.36,9.63,88,56,4.09,GL,1609272804
42,saldanha,-33.01,17.94,66.2,68,0,4.7,ZA,1609272806
43,gravelbourg,49.88,-106.55,15.8,78,0,19.46,CA,1609272807
44,padang,-0.95,100.35,78.44,77,98,6.2,ID,1609272808
45,yellowknife,62.46,-114.35,-4,76,90,2.24,CA,1609272605
46,tiksi,71.69,128.87,-1.41,92,100,6.85,RU,1609272810
47,guerrero negro,27.98,-114.06,63.23,48,0,16.75,MX,1609272812
48,pacific grove,36.62,-121.92,55.99,66,1,5.82,US,1609272813
49,puerto del rosario,28.5,-13.86,64.4,68,40,8.05,ES,1609272814
50,port alfred,-33.59,26.89,70,90,100,3,ZA,1609272815
51,muncar,-8.43,114.33,77.18,87,95,5.12,ID,1609272669
52,ponta do sol,32.67,-17.1,59,77,75,8.05,PT,1609272818
53,castro,-24.79,-50.01,72.64,87,96,6.89,BR,1609272704
54,skibbereen,51.55,-9.27,35.6,80,0,13.87,IE,1609272820
55,laguna,38.42,-121.42,55.99,43,1,6.93,US,1609272821
56,yumen,40.28,97.2,3,81,0,18.75,CN,1609272822
57,pachino,36.72,15.09,53.6,87,3,3.36,IT,1609272824
58,nikolskoye,59.7,30.79,28.4,86,90,17.9,RU,1609272825
59,san pedro,14.35,121.02,77,94,20,3.36,PH,1609272826
60,yerbogachen,61.28,108.01,-25.1,83,0,6.64,RU,1609272827
61,bassano,50.78,-112.47,17.6,78,0,4.7,CA,1609272828
62,carnarvon,-24.87,113.63,77,94,90,9.17,AU,1609272830
63,saint-pierre,-21.34,55.48,77,69,0,21.92,RE,1609272831
64,rossland,49.08,-117.8,19.99,96,100,8.01,CA,1609272832
65,airai,-8.93,125.41,61.54,100,99,1.39,TL,1609272834
66,kapaa,22.08,-159.32,75.99,83,75,4.7,US,1609272835
67,dikson,73.51,80.55,-23.46,82,0,5.86,RU,1609272836
68,chateauroux,46.82,1.7,39.2,93,63,13.87,FR,1609272838
69,yabelo,4.88,38.08,65.08,56,0,16.28,ET,1609272840
70,puerto ayora,-0.74,-90.35,82.4,61,40,19.46,EC,1609272841
71,arraial do cabo,-22.97,-42.03,77,78,75,13.87,BR,1609272843
72,natal,-5.79,-35.21,86,62,20,19.46,BR,1609272796
73,khatanga,71.97,102.5,-31.59,84,95,9.13,RU,1609272845
74,atuona,-9.8,-139.03,78.75,74,0,16.15,PF,1609272846
75,bima,-8.47,118.72,76.1,85,97,2.21,ID,1609272848
76,cidreira,-30.18,-50.21,77.59,79,15,13.18,BR,1609272849
77,sabang,5.89,95.32,81.66,77,100,12.28,ID,1609272850
78,east london,-33.02,27.91,74.21,85,100,15.05,ZA,1609272852
79,adrar,20.5,-10.07,73.81,34,97,2.95,MR,1609272853
80,busselton,-33.65,115.33,66.99,67,65,1.01,AU,1609272854
81,berlevag,70.86,29.09,32,95,75,18.34,NO,1609272856
82,bathsheba,13.22,-59.52,80.6,78,75,6.93,BB,1609272857
83,albany,42.6,-73.97,30.99,42,100,4,US,1609272391
84,cassilandia,-19.11,-51.73,89.53,45,65,3.69,BR,1609272870
85,marsh harbour,26.54,-77.06,72.3,66,33,21.23,BS,1609272872
86,nadadores,27.05,-101.6,79,38,8,3,MX,1609272873
87,mount isa,-20.73,139.5,75.2,83,40,4.7,AU,1609272811
88,coquimbo,-29.95,-71.34,68,64,20,16.11,CL,1609272797
89,klaksvik,62.23,-6.59,33.8,84,100,32.21,FO,1609272878
90,chumikan,54.72,135.31,-21.51,80,100,21.09,RU,1609272885
91,butaritari,3.07,172.79,81.66,79,100,20,KI,1609272888
92,norman wells,65.28,-126.83,-11.2,83,75,2.24,CA,1609272892
93,new norfolk,-42.78,147.06,52,74,94,2.35,AU,1609272623
94,upernavik,72.79,-56.15,15.82,85,29,11.72,GL,1609272624
95,xuddur,4.12,43.89,80.15,58,4,16.35,SO,1609272895
96,ulladulla,-35.35,150.47,62.6,93,90,6.93,AU,1609272898
97,thompson,55.74,-97.86,14,85,75,9.17,CA,1609272899
98,zhigansk,66.77,123.37,-3.55,90,91,21.85,RU,1609272900
99,jamestown,42.1,-79.24,27,73,90,9.17,US,1609272695
100,faya,18.39,42.45,59,71,0,1.66,SA,1609272903
101,surt,31.21,16.59,61.27,37,0,8.72,LY,1609272904
102,seoul,37.57,126.98,17.6,56,40,5.82,KR,1609272704
103,cabo san lucas,22.89,-109.91,75,60,5,14.99,MX,1609272739
104,kangalassy,62.35,129.96,-52.6,55,90,0.54,RU,1609272908
105,teya,60.38,92.63,-22.22,80,74,3.15,RU,1609272909
106,shediac,46.22,-64.54,32,89,75,21.92,CA,1609272910
107,ushtobe,45.25,77.98,7.75,96,92,3.13,KZ,1609272912
108,sun valley,39.6,-119.78,37.99,37,1,1.83,US,1609272795
109,okhotsk,59.38,143.3,-13.65,80,100,13.42,RU,1609272619
110,nanortalik,60.14,-45.24,25.39,90,100,8.1,GL,1609272915
111,port hawkesbury,45.62,-61.35,37,93,90,18.34,CA,1609272916
112,lafia,8.48,8.52,80.82,26,61,0.76,NG,1609272918
113,grindavik,63.84,-22.43,33.8,80,75,3.36,IS,1609272919
114,jiangyin,31.93,120.31,24.01,95,0,3,CN,1609272920
115,solnechnyy,50.72,136.63,-18.51,83,100,2.95,RU,1609272921
116,avarua,-21.21,-159.78,84.2,79,4,2.24,CK,1609272922
117,pontianak,-0.03,109.33,76.21,92,100,4.03,ID,1609272924
118,clyde river,70.47,-68.59,3.2,84,90,13.87,CA,1609272925
119,ambon,-3.7,128.18,81.16,76,78,4.63,ID,1609272926
120,ilulissat,69.22,-51.1,19.4,62,40,23.04,GL,1609272927
121,general roca,-39.03,-67.58,95,14,0,23.04,AR,1609272928
122,epe,6.58,3.98,79.03,82,20,6.64,NG,1609272904
123,georgetown,5.41,100.34,80.01,88,20,4.7,MY,1609272931
124,havoysund,71,24.66,33.8,74,0,29.97,NO,1609272932
125,roebourne,-20.78,117.13,83.86,68,0,10,AU,1609272933
126,palu,-0.89,119.87,76.1,75,100,2.42,ID,1609272935
127,korla,41.76,86.15,16.7,89,16,5.39,CN,1609272936
128,fortuna,40.6,-124.16,52,87,1,10.29,US,1609272937
129,varna,43.22,27.92,53.6,81,0,8.05,BG,1609272827
130,cockburn town,21.46,-71.14,76.64,75,5,18.95,TC,1609272932
131,comodoro rivadavia,-45.87,-67.5,71.6,64,40,12.75,AR,1609272941
132,bredasdorp,-34.53,20.04,64.4,68,0,11.41,ZA,1609272942
133,the pas,53.83,-101.25,10.4,92,90,5.82,CA,1609272943
134,kahului,20.89,-156.47,77,61,20,7.45,US,1609272944
135,chokurdakh,70.63,147.92,-37.34,83,81,6.13,RU,1609272946
136,bethel,41.37,-73.41,34,50,87,8.01,US,1609272809
137,hamilton,39.18,-84.53,37.99,47,40,5.82,US,1609272757
138,gara,46.03,19.04,41,80,0,10.29,HU,1609272949
139,port blair,11.67,92.75,78.8,85,19,8.81,IN,1609272903
140,hithadhoo,-0.6,73.08,82.33,74,71,7.29,MV,1609272952
141,saint-paul,-21.01,55.27,75.2,69,0,13.87,RE,1609272953
142,ludvika,60.15,15.19,37.4,93,100,6.93,SE,1609272954
143,mackay,-21.15,149.2,73.4,94,90,10.29,AU,1609272955
144,tessalit,20.2,1.01,68.88,24,51,5.03,ML,1609272957
145,viransehir,37.24,39.76,45.97,52,0,5.19,TR,1609272958
146,nelson bay,-32.72,152.15,66,100,75,5.82,AU,1609272959
147,dongobesh,-4.07,35.38,59.68,86,100,5.77,TZ,1609272960
148,deputatskiy,69.3,139.9,-28.91,87,31,2.82,RU,1609272961
149,los llanos de aridane,28.66,-17.92,64.4,82,75,5.82,ES,1609272963
150,morondava,-20.28,44.28,79.12,90,100,12.46,MG,1609272964
151,yamada,39.47,141.95,35.33,91,100,13.91,JP,1609272965
152,kamaishi,39.27,141.88,38.48,87,100,12.39,JP,1609272859
153,peniche,39.36,-9.38,51.01,77,0,8.01,PT,1609272968
154,hovd,48.01,91.64,-11.78,85,11,1.7,MN,1609272969
155,yelan,50.95,43.74,11.86,95,0,11.65,RU,1609272970
156,rairangpur,22.27,86.18,58.01,53,0,1.03,IN,1609272971
157,torbay,47.67,-52.73,35.01,88,90,12.75,CA,1609272972
158,glace bay,46.2,-59.96,43,95,100,5.01,CA,1609272974
159,aykhal,66,111.5,-16.6,68,90,8.95,RU,1609272975
160,talas,38.69,35.55,32,74,0,4.7,TR,1609272976
161,faanui,-16.48,-151.75,80.58,78,90,14.5,PF,1609272977
162,yuxia,34.06,108.63,27,66,0,6.71,CN,1609272979
163,winchester,51.07,-1.32,39,93,96,11.41,GB,1609272816
164,lastoursville,-0.81,12.73,73.99,90,100,2.82,GA,1609272981
165,palm coast,29.59,-81.21,69.8,60,75,11.41,US,1609272982
166,miraflores,19.22,-98.81,72,19,5,4.7,MX,1609272983
167,modasa,23.47,73.3,54.64,38,0,10.92,IN,1609272966
168,hermanus,-34.42,19.23,64,79,2,1.01,ZA,1609272776
169,zhaodong,46.08,125.98,-14.8,75,0,4.47,CN,1609272987
170,paamiut,61.99,-49.67,30.13,93,100,26.49,GL,1609272988
171,rengali,21.63,84.05,60.78,56,0,4.7,IN,1609272989
172,kavieng,-2.57,150.8,83.73,66,94,5.77,PG,1609272991
173,bengkulu,-3.8,102.27,76.12,80,100,4.03,ID,1609272733
174,shakawe,-18.37,21.85,75.79,68,73,4.76,BW,1609272993
175,vila,42.03,-8.16,37,90,56,3.69,PT,1609272994
176,maniitsoq,65.42,-52.9,25.56,94,100,25.14,GL,1609272995
177,nenjiang,49.18,125.22,-13.41,82,42,5.61,CN,1609272996
178,alexandria,31.22,29.96,59,82,0,3.36,EG,1609272998
179,ancud,-41.87,-73.82,53.6,71,75,19.46,CL,1609272999
180,barcelos,41.54,-8.62,43,87,20,4.7,PT,1609272791
181,cayenne,4.93,-52.33,82.4,78,24,8.05,GF,1609273002
182,santa rosa,14.31,121.11,77,94,20,3.36,PH,1609273003
183,beringovskiy,63.05,179.32,29.44,98,100,8.3,RU,1609273004
184,tuatapere,-46.13,167.68,59,85,100,7,NZ,1609273005
185,batesville,35.77,-91.64,36,93,90,6.93,US,1609273006
186,richards bay,-28.78,32.04,79.7,70,0,13.51,ZA,1609272875
187,coihaique,-45.58,-72.07,59,62,75,8.05,CL,1609272850
188,narsaq,60.92,-46.05,23,49,75,3.36,GL,1609273010
189,tasiilaq,65.61,-37.64,21.2,100,90,4.99,GL,1609273011
190,constitucion,-35.33,-72.42,65.3,73,13,14.54,CL,1609273012
191,betania,5.75,-75.98,70,76,82,4.21,CO,1609273014
192,bambous virieux,-20.34,57.76,77,78,40,12.75,MU,1609273015
193,petrozavodsk,61.78,34.35,19.4,85,100,11.18,RU,1609273016
194,galesburg,40.95,-90.37,26.01,92,90,9.17,US,1609272721
195,rapar,23.57,70.63,62.04,33,0,12.82,IN,1609273018
196,mendi,-6.18,143.65,55.2,99,100,1.99,PG,1609273020
197,rockland,41.17,-74.05,37,47,68,1.01,US,1609272842
198,naze,28.37,129.48,69.8,88,75,17.22,JP,1609273022
199,tabligbo,6.58,1.5,84.2,79,20,6.93,TG,1609273023
200,marzuq,14.4,46.47,61.23,35,0,0.65,YE,1609273024
201,leshukonskoye,64.9,45.76,3.79,93,87,4.97,RU,1609273026
202,cabatuan,10.88,122.49,74.89,89,13,6.89,PH,1609273027
203,longyearbyen,78.22,15.64,33.8,69,75,4.7,SJ,1609273028
204,malokakhovka,46.78,33.45,50.95,74,100,13.44,UA,1609273029
205,flinders,-34.58,150.86,64.99,93,100,1.01,AU,1609273031
206,lufilufi,-13.87,-171.6,86,79,40,6.93,WS,1609273032
207,vangaindrano,-23.35,47.6,75.9,92,68,7.54,MG,1609273033
208,muli,2.92,73.57,82.35,74,46,8.3,MV,1609273034
209,tual,-5.67,132.75,84.29,75,100,10.29,ID,1609273036
210,horten,59.42,10.49,37.4,93,100,12.75,NO,1609273037
211,provideniya,64.38,-173.3,26.6,79,75,13.42,RU,1609273038
212,roma,43.21,-75.46,27,53,75,17.22,US,1609272823
213,calabozo,8.92,-67.43,93.52,35,81,3.96,VE,1609272777
214,nemuro,43.32,145.57,21.7,96,100,9.84,JP,1609272793
215,codrington,-38.27,141.97,54.93,92,100,3.29,AU,1609273043
216,daru,-9.08,143.21,76.89,86,100,7.43,PG,1609273044
217,kruisfontein,-34,24.73,69.01,79,100,1.99,ZA,1609273046
218,galesong,-5.32,119.37,73.4,100,90,2.24,ID,1609273047
219,surskoye,54.48,46.72,-0.67,92,7,4.9,RU,1609273048
220,praia da vitoria,38.73,-27.07,55.4,76,40,16.22,PT,1609273049
221,umtata,-31.59,28.78,77,61,100,5.82,ZA,1609273050
222,santa fe,-31.63,-60.7,100,28,0,3,AR,1609272961
223,bastia,42.67,9.33,53.01,81,0,5.82,FR,1609273053
224,weinan,34.5,109.51,27,66,0,6.71,CN,1609273054
225,vardo,70.37,31.11,32,93,75,32.21,NO,1609273055
226,huntsville,34.73,-86.59,59,30,1,3.36,US,1609272820
227,inyonga,-6.72,32.07,66.9,89,100,1.5,TZ,1609273057
228,loandjili,-4.76,11.86,78.8,94,20,4.7,CG,1609273059
229,sucre,-19.03,-65.26,57.2,76,40,8.57,BO,1609273060
230,sobolevo,54.43,31.9,34.97,97,100,14.7,RU,1609273061
231,waipawa,-41.41,175.52,60.01,82,97,5.82,NZ,1609273062
232,vila franca do campo,37.72,-25.43,53.6,76,20,10.29,PT,1609273063
233,verkhoyansk,67.54,133.38,-26.34,83,93,2.42,RU,1609273065
234,san lawrenz,36.06,14.2,60.01,82,20,13.87,MT,1609273066
235,surab,28.49,66.26,31.66,61,0,3.91,PK,1609273067
236,toda raisingh,26.03,75.48,43.88,59,0,6.22,IN,1609273069
237,tecoanapa,16.52,-98.75,83.21,58,0,11.21,MX,1609273070
238,bandundu,-3.32,17.37,74.57,91,100,3.51,CD,1609273071
239,labuhan,-6.88,112.21,75.18,88,100,5.57,ID,1609273072
240,linqiong,30.42,103.46,44.01,86,0,4.32,CN,1609273073
241,mankono,8.06,-6.19,78.8,18,86,3.6,CI,1609273075
242,lazaro cardenas,17.96,-102.2,79.99,61,0,6.67,MX,1609273076
243,esperance,-33.87,121.9,59,82,32,10.29,AU,1609273077
244,beloha,-25.17,45.05,79.66,72,40,7.67,MG,1609273078
245,talaya,61.38,152.75,-24.99,83,100,9.75,RU,1609273080
246,porto novo,6.5,2.6,84.2,70,0,8.05,BJ,1609273081
247,qaqortoq,60.72,-46.03,23,49,75,3.36,GL,1609273082
248,batemans bay,-35.72,150.18,62.01,92,85,2.19,AU,1609273083
249,rio de janeiro,-22.9,-43.21,87.01,78,75,11.41,BR,1609273015
250,maraa,-1.83,-65.37,73.72,95,100,1.57,BR,1609273086
251,tulum,20.22,-87.47,78.8,61,40,12.75,MX,1609273087
252,ondjiva,-17.07,15.73,72.55,69,100,4.7,AO,1609273088
253,myitkyina,25.38,97.4,52.43,63,25,2.86,MM,1609273033
254,hirara,24.8,125.28,67.89,81,100,41.72,JP,1609273091
255,luanda,-8.84,13.23,78.8,83,40,9.17,AO,1609273092
256,sinnamary,5.38,-52.95,81.25,77,76,9.73,GF,1609273093
257,angoche,-16.23,39.91,78.33,88,100,9.89,MZ,1609273094
258,mujiayingzi,42.12,118.78,-17.18,78,0,11.03,CN,1609273095
259,russell,32.35,-85.2,66.2,52,40,7.02,US,1609272910
260,newport,51.59,-3,39.99,92,44,1.99,GB,1609273098
261,pisco,-13.7,-76.22,77,69,0,23.04,PE,1609273099
262,katsuura,35.13,140.3,61,63,75,21.92,JP,1609273047
263,paramonga,-10.67,-77.83,74.07,74,50,11.05,PE,1609273101
264,saint-philippe,-21.36,55.77,77,69,0,21.92,RE,1609273103
265,kaitangata,-46.28,169.85,62.01,74,100,8.01,NZ,1609273104
266,asyut,27.18,31.18,59,67,0,13.87,EG,1609272939
267,springfield,37.22,-93.3,37.4,86,90,18.34,US,1609273063
268,teahupoo,-17.83,-149.27,86,66,20,4.7,PF,1609273107
269,cristinapolis,-11.48,-37.76,79.97,56,21,10.63,BR,1609273109
270,port lincoln,-34.73,135.87,59.9,84,100,9.84,AU,1609273110
271,sao filipe,14.9,-24.5,74.43,83,100,7.87,CV,1609273111
272,harper,4.38,-7.72,79.56,83,7,6.89,LR,1609273112
273,lavrentiya,65.58,-171,19.54,95,96,11.97,RU,1609273114
274,severo-kurilsk,50.68,156.12,21.9,94,92,24.05,RU,1609273115
275,simbahan,6.3,120.58,82.36,78,99,7.43,PH,1609273116
276,hasaki,35.73,140.83,39.2,93,75,2.24,JP,1609273117
277,tabou,4.42,-7.35,79.61,83,12,7.43,CI,1609273118
278,cherskiy,68.75,161.3,-35.09,82,86,3.85,RU,1609273120
279,ambanja,-13.68,48.45,75.7,90,100,3.31,MG,1609273121
280,nioki,-2.72,17.68,73.87,89,100,1.63,CD,1609273122
281,gurupi,-11.73,-49.07,85.6,61,85,4.61,BR,1609273123
282,necochea,-38.55,-58.74,81.21,54,23,13.15,AR,1609273124
283,kihei,20.79,-156.47,78.01,61,20,0.6,US,1609273126
284,anton lizardo,19.05,-95.98,82.4,37,20,8.05,MX,1609273127
285,kristiansund,63.11,7.73,39.2,69,0,14.99,NO,1609273128
286,slave lake,55.28,-114.77,10.4,78,1,0.49,CA,1609273129
287,villanueva de cordoba,38.32,-4.63,41,86,0,5.82,ES,1609273130
